%{dd-mm-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper :21 - logger is configured
28-03-2020 09:03:552 INFO  ExtentListner :64 - C Test Finished..
28-03-2020 09:03:557 INFO  ExtentListner :26 - TestScreenshot class started..
28-03-2020 09:03:216 INFO  Base :139 - Initialise WebDriver with hashcode :1190566357
28-03-2020 09:03:225 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 09:03:239 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 09:03:239 INFO  WaitHelper :125 - Page is loded
28-03-2020 09:03:417 INFO  ExtentListner :32 - test Test Started..
28-03-2020 09:03:564 INFO  ExtentListner :38 - test Test Passed
28-03-2020 09:03:707 INFO  ExtentListner :64 - TestScreenshot Test Finished..
28-03-2020 10:03:263 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 10:03:283 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 10:03:290 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 10:03:290 INFO  WaitHelper :125 - Page is loded
28-03-2020 10:03:954 INFO  LoggerHelper :24 - logger is configured
28-03-2020 13:03:28 INFO  LoggerHelper :24 - logger is configured
28-03-2020 13:03:315 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 13:03:340 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 13:03:349 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 13:03:350 INFO  WaitHelper :125 - Page is loded
28-03-2020 16:03:50 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 16:03:77 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 16:03:81 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 16:03:81 INFO  WaitHelper :125 - Page is loded
28-03-2020 16:03:11 INFO  Base :139 - Initialise WebDriver with hashcode :1107404311
28-03-2020 16:03:33 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 16:03:41 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 16:03:42 INFO  WaitHelper :125 - Page is loded
28-03-2020 17:03:402 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 17:03:411 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 17:03:414 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 17:03:414 INFO  WaitHelper :125 - Page is loded
28-03-2020 17:03:02 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 17:03:32 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 17:03:60 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 17:03:60 INFO  WaitHelper :125 - Page is loded
28-03-2020 17:03:145 INFO  Base :139 - Initialise WebDriver with hashcode :351417028
28-03-2020 17:03:178 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 17:03:194 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 17:03:194 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:591 INFO  Base :140 - Initialise WebDriver with hashcode :351417028
28-03-2020 18:03:601 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:604 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:604 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:463 INFO  Base :140 - Initialise WebDriver with hashcode :38544126
28-03-2020 18:03:471 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:475 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:475 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:826 INFO  Base :140 - Initialise WebDriver with hashcode :38544126
28-03-2020 18:03:835 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:838 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:838 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:494 INFO  Base :140 - Initialise WebDriver with hashcode :38544126
28-03-2020 18:03:503 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:506 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:506 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:817 INFO  Base :140 - Initialise WebDriver with hashcode :38544126
28-03-2020 18:03:839 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:855 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:855 INFO  WaitHelper :125 - Page is loded
28-03-2020 18:03:467 INFO  Base :140 - Initialise WebDriver with hashcode :38544126
28-03-2020 18:03:499 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 18:03:515 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 18:03:515 INFO  WaitHelper :125 - Page is loded
28-03-2020 19:03:226 INFO  Base :141 - Initialise WebDriver with hashcode :38544126
28-03-2020 19:03:240 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 19:03:243 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 19:03:243 INFO  WaitHelper :125 - Page is loded
28-03-2020 19:03:83 INFO  Base :141 - Initialise WebDriver with hashcode :38544126
28-03-2020 19:03:121 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 19:03:147 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 19:03:148 INFO  WaitHelper :125 - Page is loded
28-03-2020 19:03:232 INFO  Base :141 - Initialise WebDriver with hashcode :38544126
28-03-2020 19:03:242 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 19:03:246 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 19:03:246 INFO  WaitHelper :125 - Page is loded
28-03-2020 19:03:215 INFO  Base :141 - Initialise WebDriver with hashcode :38544126
28-03-2020 19:03:244 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 19:03:251 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 19:03:252 INFO  WaitHelper :125 - Page is loded
28-03-2020 20:03:481 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
28-03-2020 20:03:519 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 20:03:522 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 20:03:522 INFO  WaitHelper :125 - Page is loded
28-03-2020 20:03:198 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
28-03-2020 20:03:210 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 20:03:214 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 20:03:214 INFO  WaitHelper :125 - Page is loded
28-03-2020 20:03:01 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
28-03-2020 20:03:24 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 20:03:38 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 20:03:39 INFO  WaitHelper :125 - Page is loded
28-03-2020 20:03:350 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
28-03-2020 20:03:381 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
28-03-2020 20:03:400 INFO  WaitHelper :124 - Waiting for Page Load Time of 200 SECONDS
28-03-2020 20:03:400 INFO  WaitHelper :125 - Page is loded
30-03-2020 10:03:980 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:987 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:01 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:10 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:11 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:372 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:378 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:391 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:401 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:402 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:54 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:62 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:76 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:85 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:87 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:702 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:705 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:711 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:716 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:717 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:553 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:567 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:577 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:585 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:585 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:349 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:353 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:359 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
30-03-2020 10:03:364 INFO  WaitHelper :125 - Waiting for Page Load Time of 200 SECONDS
30-03-2020 10:03:364 INFO  WaitHelper :126 - Page is loded
30-03-2020 10:03:777 INFO  Base :139 - Initialise WebDriver with hashcode :38544126
30-03-2020 10:03:787 INFO  WaitHelper :24 - WaitHelper object created.
30-03-2020 10:03:807 INFO  WaitHelper :35 - Implicit Wait has been set to 120 SECONDS
